Region,Total,Age 65 Plus 2025,pct 65 plus
Central North Carolina,4202985.0,597310.0,14.211566303472415
Eastern North Carolina,770585.0,124416.0,16.145655573363094
Western North Carolina,452938.0,92030.0,20.318454181366985
